Pay Date,-140 BPs,-120 BPs,-100 BPs,  -80  BPs,  -60  BPs,  -40 BPs,  -20 BPs,      0 BPs,    20 BPs,    40 BPs,    60 BPs,    80 BPs, 100 BPs, 120 BPs, 140 BPs
04/42,13.26,13.08,12.86,12.61,12.34,12.04,11.58,11.1,10.51,10.17,9.89,9.61,9.48,9.34,9.21
05/42,13.64,13.47,13.25,12.99,12.72,12.42,11.97,11.48,10.89,10.53,10.24,9.96,9.82,9.68,9.54
06/42,14.66,14.48,14.24,13.97,13.68,13.36,12.86,12.33,11.69,11.3,10.98,10.67,10.51,10.36,10.2
07/42,15.43,15.24,14.99,14.71,14.4,14.07,13.55,12.99,12.32,11.9,11.56,11.23,11.06,10.89,10.73
08/42,15.17,14.99,14.75,14.48,14.19,13.87,13.37,12.84,12.19,11.79,11.47,11.15,10.99,10.83,10.68
09/42,15.97,15.79,15.54,15.25,14.94,14.6,14.08,13.51,12.83,12.4,12.06,11.72,11.55,11.38,11.21
10/42,14.7,14.53,14.31,14.06,13.79,13.5,13.04,12.55,11.96,11.6,11.31,11.02,10.87,10.73,10.59
11/42,15.12,14.95,14.72,14.46,14.19,13.89,13.42,12.92,12.32,11.95,11.64,11.35,11.2,11.05,10.91
12/42,13.84,13.68,13.49,13.27,13.04,12.77,12.38,11.95,11.44,11.14,10.89,10.64,10.52,10.4,10.28
01/43,13.92,13.76,13.57,13.34,13.11,12.85,12.46,12.03,11.53,11.23,10.98,10.74,10.63,10.51,10.39
02/43,13.53,13.37,13.19,12.99,12.77,12.52,12.16,11.76,11.29,11.02,10.8,10.58,10.47,10.36,10.25
03/43,13.12,12.98,12.82,12.63,12.43,12.2,11.87,11.51,11.09,10.84,10.64,10.44,10.34,10.24,10.14
04/43,15.23,15.07,14.87,14.63,14.38,14.1,13.68,13.22,12.67,12.33,12.06,11.8,11.66,11.53,11.4
05/43,15.61,15.45,15.25,15.01,14.76,14.48,14.05,13.59,13.03,12.69,12.41,12.13,12,11.86,11.73
06/43,16.59,16.43,16.21,15.95,15.68,15.39,14.92,14.42,13.82,13.44,13.13,12.82,12.67,12.52,12.37
07/43,17.51,17.34,17.11,16.84,16.56,16.25,15.76,15.24,14.6,14.2,13.87,13.55,13.38,13.23,13.07
08/43,17.44,17.28,17.06,16.8,16.53,16.24,15.77,15.27,14.66,14.27,13.96,13.65,13.5,13.35,13.2
09/43,18.38,18.22,17.99,17.71,17.43,17.12,16.62,16.09,15.45,15.04,14.71,14.38,14.22,14.06,13.9
10/43,17.34,17.19,16.99,16.75,16.51,16.24,15.81,15.35,14.8,14.45,14.17,13.89,13.75,13.62,13.48
11/43,17.91,17.76,17.56,17.31,17.06,16.79,16.35,15.88,15.32,14.96,14.67,14.39,14.25,14.11,13.97
12/43,16.86,16.73,16.55,16.35,16.14,15.9,15.53,15.14,14.66,14.37,14.13,13.9,13.78,13.67,13.55
01/44,17.11,16.97,16.8,16.6,16.38,16.15,15.78,15.39,14.92,14.63,14.4,14.18,14.06,13.95,13.84
02/44,16.91,16.78,16.62,16.43,16.23,16.01,15.67,15.31,14.88,14.61,14.4,14.2,14.09,13.99,13.89
03/44,16.71,16.59,16.44,16.27,16.09,15.89,15.58,15.26,14.86,14.62,14.43,14.24,14.15,14.06,13.96
04/44,18.89,18.75,18.56,18.34,18.12,17.87,17.47,17.05,16.54,16.23,15.97,15.72,15.59,15.47,15.34
05/44,19.42,19.29,19.1,18.88,18.65,18.4,18,17.58,17.06,16.74,16.47,16.21,16.08,15.95,15.83
06/44,20.52,20.38,20.18,19.94,19.7,19.43,19,18.54,17.98,17.62,17.33,17.04,16.9,16.76,16.62
07/44,21.39,21.25,21.04,20.79,20.53,20.25,19.8,19.31,18.73,18.34,18.04,17.73,17.58,17.43,17.28
08/44,21.33,21.19,20.99,20.75,20.51,20.24,19.81,19.35,18.79,18.42,18.13,17.84,17.69,17.55,17.41
09/44,22.22,22.08,21.87,21.62,21.36,21.08,20.62,20.13,19.54,19.15,18.84,18.53,18.37,18.22,18.07
10/44,21.24,21.12,20.93,20.72,20.49,20.25,19.85,19.44,18.93,18.6,18.33,18.07,17.94,17.81,17.68
11/44,21.79,21.66,21.47,21.25,21.02,20.77,20.37,19.94,19.42,19.08,18.81,18.54,18.41,18.28,18.14
12/44,20.8,20.69,20.53,20.34,20.15,19.94,19.6,19.24,18.8,18.53,18.3,18.08,17.97,17.86,17.75
01/45,21.04,20.92,20.76,20.58,20.38,20.17,19.84,19.48,19.05,18.78,18.56,18.35,18.24,18.13,18.03
02/45,20.85,20.74,20.59,20.42,20.24,20.05,19.74,19.41,19.01,18.77,18.57,18.37,18.27,18.18,18.08
03/45,20.67,20.57,20.44,20.28,20.12,19.94,19.66,19.36,19,18.78,18.6,18.42,18.33,18.24,18.16
04/45,22.72,22.6,22.44,22.24,22.03,21.81,21.45,21.06,20.6,20.3,20.05,19.81,19.7,19.58,19.46
05/45,23.24,23.12,22.95,22.75,22.55,22.32,21.95,21.56,21.09,20.78,20.53,20.29,20.16,20.04,19.92
06/45,24.28,24.16,23.97,23.76,23.54,23.29,22.9,22.48,21.96,21.62,21.35,21.07,20.94,20.81,20.67
